Time,Time Code,Country Name,Country Code,A woman can travel outside her home in the same way as a man (1=yes; 0=no) [SG.HME.TRVL.EQ],A woman can travel outside the country in the same way as a man (1=yes; 0=no) [SG.CTR.TRVL.EQ],Women participating in own health care decisions (% of women age 15-49) [SG.DMK.HLTH.FN.ZS],Women participating in making major household purchase decisions (% of women age 15-49) [SG.DMK.PRCH.FN.ZS],Women participating in making daily purchase decisions (% of women age 15-49) [SG.DMK.DPCH.FN.ZS],"Women participating in decision of visits to family, relatives, friends (% of women age 15-49) [SG.DMK.VISI.FN.ZS]","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49) [SG.DMK.SRCR.FN.ZS]",Firms with female top manager (% of firms) [IC.FRM.FEMM.ZS],Female share of employment in senior and middle management (%) [SL.EMP.SMGT.FE.ZS],Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],Proportion of women in ministerial level positions (%) [SG.GEN.MNST.ZS],"Prevalence of overweight, female (% of female adults) [SH.STA.OWAD.FE.ZS]","Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]",Women's share of population ages 15+ living with HIV (%) [SH.DYN.AIDS.FE.ZS],"Account, female (% age 15+) [account.t.d.1]","Account, male (% age 15+) [account.t.d.2]",Has access to the Internet (% age 15+) [Internet],Men who own a house alone (% of men) [SG.OWN.HSAL.MA.ZS],"Paid school fees, female (% age 15+) [fin33.2014.d.1]","Paid school fees, male (% age 15+) [fin33.2014.d.2]","Saved for old age, female (% age 15+) [fin16.t.d.1]","Saved for old age, male (% age 15+) [fin16.t.d.2]",Women who do not own a house (% of women age 15-49) [SG.OWN.HSNO.FE.ZS],Women who own a house alone (% of women age 15-49) [SG.OWN.HSAL.FE.ZS],Proportion of women who have ever experienced any form of sexual violence (% of women ages 15-49) [SG.VAW.AFSX.ZS],Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant) [SP.MTR.1519.ZS],Women who were first married by age 18 (% of women ages 20-24) [SP.M18.2024.FE.ZS],Women whose husband or partner has ever demonstrated controlling behaviors (% of ever-married women ages 15-49) [SG.VAW.IPCB.ZS]
1974,YR1974,Japan,JPN,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,"Korea, Rep.",KOR,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Latvia,LVA,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Lithuania,LTU,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Luxembourg,LUX,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Mexico,MEX,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Netherlands,NLD,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,New Zealand,NZL,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Norway,NOR,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Poland,POL,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Portugal,PRT,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Slovak Republic,SVK,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Slovenia,SVN,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Spain,ESP,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Sweden,SWE,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Switzerland,CHE,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,Turkiye,TUR,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,United Kingdom,GBR,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1974,YR1974,United States,USA,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Australia,AUS,0,1,..,..,..,..,..,..,..,..,..,36.9,46.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Austria,AUT,1,1,..,..,..,..,..,..,..,..,..,31.1,38.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Belgium,BEL,1,1,..,..,..,..,..,..,..,..,..,41,45.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Canada,CAN,1,1,..,..,..,..,..,..,..,..,..,35.5,44.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Chile,CHL,1,1,..,..,..,..,..,..,..,..,..,42.5,36.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Colombia,COL,1,1,..,..,..,..,..,..,..,..,..,37.4,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Costa Rica,CRI,1,1,..,..,..,..,..,..,..,..,..,31.9,24.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Czechia,CZE,1,1,..,..,..,..,..,..,..,..,..,45.5,47.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Denmark,DNK,1,1,..,..,..,..,..,..,..,..,..,33.9,38.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Estonia,EST,1,1,..,..,..,..,..,..,..,..,..,46.6,38.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Finland,FIN,1,1,..,..,..,..,..,..,..,..,..,31.6,38.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,France,FRA,1,1,..,..,..,..,..,..,..,..,..,36.3,43.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Germany,DEU,1,1,..,..,..,..,..,..,..,..,..,34.2,42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Greece,GRC,1,1,..,..,..,..,..,..,..,..,..,38.1,43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Hungary,HUN,1,1,..,..,..,..,..,..,..,..,..,42,44.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Iceland,ISL,1,1,..,..,..,..,..,..,..,..,..,37.1,42.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Ireland,IRL,1,1,..,..,..,..,..,..,..,..,..,28.2,39.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Israel,ISR,1,1,..,..,..,..,..,..,..,..,..,44.7,47.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Italy,ITA,1,1,..,..,..,..,..,..,..,..,..,35.7,43.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
