Time,Time Code,Country Name,Country Code,Female headed households (% of households with a female head) [SP.HOU.FEMA.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at age 60, female (years) [SP.DYN.LE60.FE.IN]","Life expectancy at age 60, male (years) [SP.DYN.LE60.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 15-19, male [SP.POP.1519.MA]","Population ages 15-19, female [SP.POP.1519.FE]","Population ages 20-24, female [SP.POP.2024.FE]","Population ages 20-24, male [SP.POP.2024.MA]","Population ages 25-29, female [SP.POP.2529.FE]","Population ages 25-29, male [SP.POP.2529.MA]","Population ages 30-34, female [SP.POP.3034.FE]","Population ages 30-34, male [SP.POP.3034.MA]","Population ages 35-39, female [SP.POP.3539.FE]","Population ages 35-39, male [SP.POP.3539.MA]","Population ages 40-44, female [SP.POP.4044.FE]","Population ages 40-44, male [SP.POP.4044.MA]","Population ages 45-49, female [SP.POP.4549.FE]","Population ages 45-49, male [SP.POP.4549.MA]","Population ages 50-54, female [SP.POP.5054.FE]","Population ages 50-54, male [SP.POP.5054.MA]","Population ages 55-59, female [SP.POP.5559.FE]","Population ages 55-59, male [SP.POP.5559.MA]","Population ages 60-64, female [SP.POP.6064.FE]","Population ages 60-64, male [SP.POP.6064.MA]",Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female [SP.POP.65UP.FE.IN]","Population ages 65 and above, male [SP.POP.65UP.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]",Rural population (% of total population) [SP.RUR.TOTL.ZS],"Rural population, female (% of total) [SP.RUR.TOTL.FE.ZS]","Rural population, male (% of total) [SP.RUR.TOTL.MA.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Urban population, female (% of total) [SP.URB.TOTL.FE.ZS]","Urban population, male (% of total) [SP.URB.TOTL.MA.ZS]"
1973,YR1973,Hungary,HUN,..,1.93,..,..,72.54,66.64,1013647,1074131,465538,440908,421751,435464,370653,378972,356486,350460,345751,324654,367180,350407,374694,347499,355495,308471,246436,209879,336065,282055,12.2263624298467,748523,526938,5377590,5054466,10432055,38.612,..,..,61.388,..,..
1973,YR1973,Iceland,ISL,..,2.94,..,..,77.56,71.49,32322,33880,11110,10511,9002,9699,7502,8143,5884,5978,5453,5488,5721,5939,5251,5466,4860,4947,4319,4237,3862,3680,8.97732302447569,10365,8695,105053,107264,212317,14.017,..,..,85.983,..,..
1973,YR1973,Ireland,IRL,..,3.71,..,..,73.887,68.719,467998,490602,141551,136043,113552,118623,102934,106427,76403,80569,75376,76586,72710,75618,77921,75349,81728,82087,74642,74415,71500,74090,10.9925710865939,186053,153173,1536860,1549090,3085950,47.048,..,..,52.952,..,..
1973,YR1973,Israel,ISR,..,3.698,..,..,73.23,70.23,522647,545658,165349,157381,157127,162008,127337,128306,87166,86970,85199,83334,83404,77398,84740,73649,74810,71406,65841,59866,69091,64132,7.4795883176748,125521,119660,1640264,1637737,3278000,14.207,..,..,85.793,..,..
1973,YR1973,Italy,ITA,..,2.3,..,..,75.12,69.08,6553385,6894600,1982476,1927796,1913405,1944586,1860964,1823416,1887387,1823669,1870860,1799028,1877335,1807366,1865939,1763480,1657980,1479639,1367025,1214930,1590403,1406381,11.7610789262878,3757522,2681834,28130000,26621405,54751406,34.759,..,..,65.241,..,..
1973,YR1973,Japan,JPN,..,2.14,..,..,75.96,71.66,12614516,13208618,4074943,3958015,5102801,5183686,4908123,4999793,4506753,4561847,4198162,4256404,3944780,3995778,3532354,3364912,2930713,2315480,2512020,2075473,2235238,1889143,7.66965006153681,4707099,3630347,55150574,53556426,108707000,25.78,..,..,74.22,..,..
1973,YR1973,"Korea, Rep.",KOR,..,4.07,..,..,67.3,59.7,6670828,7117882,1964835,1847448,1371643,1441152,1147229,1242717,1137953,1177436,1027824,1055555,851894,769203,699020,623807,576992,552600,470934,420592,383192,318775,3.61737415425223,762332,471307,16947289,17155860,34103149,54.869,..,..,45.131,..,..
1973,YR1973,Latvia,LVA,..,1.98,..,..,74.5,65.35,252080,258296,90801,85587,87583,94549,81957,82663,96371,95623,95939,90852,94149,86877,99291,69449,74925,47495,62817,40847,75873,47834,12.5820934733641,203011,100949,1309584,1106235,2415819,37.195,..,..,62.805,..,..
1973,YR1973,Lithuania,LTU,..,2.22,..,..,75.65,67.22,416975,426040,133995,126436,117793,122177,111024,111144,122506,120110,123932,114007,125488,111307,117196,88212,86612,62128,67660,44184,81865,54455,11.0710236494521,218148,141045,1715634,1528803,3244438,46.79,..,..,53.21,..,..
1973,YR1973,Luxembourg,LUX,..,1.58,..,..,74.362,66.315,36186,38036,13590,12932,12539,12890,11681,12980,11609,12507,11410,12389,12419,13426,12081,11423,10725,9052,9155,8450,10614,9155,12.8974242953612,26612,18586,177964,172485,350450,23.873,..,..,76.127,..,..
